name                                   License type       link
-----------------------------------------------------------------------------------------------------------------------
@angular/common                        MIT                git+https://github.com/angular/angular.git
@angular/compiler                      MIT                git+https://github.com/angular/angular.git
@angular/compiler-cli                  MIT                git+https://github.com/angular/angular.git
@angular/core                          MIT                git+https://github.com/angular/angular.git
@angular/forms                         MIT                git+https://github.com/angular/angular.git
@angular/http                          MIT                git+https://github.com/angular/angular.git
@angular/platform-browser              MIT                git+https://github.com/angular/angular.git
@angular/platform-browser-dynamic      MIT                git+https://github.com/angular/angular.git
@angular/router                        MIT                git+https://github.com/angular/angular.git
@angular/upgrade                       MIT                git+https://github.com/angular/angular.git
@uirouter/angular-hybrid               MIT                git+https://github.com/ui-router/angular-hybrid.git
@triply/yasgui                         MIT                git+https://github.com/TriplyDB/yasgui.git
angular                                MIT                git+https://github.com/angular/angular.js.git
angular-animate                        MIT                git+https://github.com/angular/angular.js.git
angular-aria                           MIT                git+https://github.com/angular/angular.js.git
angular-cookies                        MIT                git+https://github.com/angular/angular.js.git
angular-material                       MIT                git://github.com/angular/material.git
angular-messages                       MIT                git+https://github.com/angular/angular.js.git
angular-mocks                          MIT                git+https://github.com/angular/angular.js.git
angular-toastr                         MIT                git+https://github.com/Foxandxss/angular-toastr.git
angular-touch                          MIT                git+https://github.com/angular/angular.js.git
angular-ui-codemirror                  MIT                git+https://github.com/angular-ui/ui-codemirror.git
angular-uuid                           MIT                git://github.com/munkychop/angular-uuid.git
antlr4                                 BSD-3-Clause       git+https://github.com/antlr/antlr4.git
antlr4ts                               BSD-3-Clause       git+https://github.com/tunnelvisionlabs/antlr4ts.git
bootstrap                              MIT                git+https://github.com/twbs/bootstrap.git
chroma-js                              BSD-3-Clause       git://github.com/gka/chroma.js.git
clipboard                              MIT                git+https://github.com/zenorocha/clipboard.js.git
codemirror-minified                    MIT                git+https://github.com/Dominator008/CodeMirror-minified.git
codemirror-no-newlines                 MIT                git+https://github.com/isaacev/codemirror-no-newlines.git
core-js                                MIT                git+https://github.com/zloirock/core-js.git
daemonite-material                     MIT                git+https://github.com/Daemonite/material.git
font-awesome                           (OFL-1.1 AND MIT)  git+https://github.com/FortAwesome/Font-Awesome.git
handsontable                           MIT                git+https://github.com/handsontable/handsontable.git
jquery                                 MIT                git+https://github.com/jquery/jquery.git
lodash                                 MIT                git+https://github.com/lodash/lodash.git
ng-handsontable                        MIT                git+https://github.com/handsontable/ngHandsontable.git
ngclipboard                            MIT                git+ssh://git@github.com/sachinchoolur/ngclipboard.git
popper.js                              MIT                git+https://github.com/FezVrasta/popper.js.git
reflect-metadata                       Apache-2.0         git+https://github.com/rbuckton/reflect-metadata.git
rxjs                                   Apache-2.0         git+ssh://git@github.com/ReactiveX/RxJS.git
showdown                               BSD-3-Clause       git+https://github.com/showdownjs/showdown.git
